input_school,similar1,similar2,similar3,similar4,similar5,similar6,similar7,similar8,similar9,similar10
University of Maine at Farmington,University of Pittsburgh-Johnstown,Delta State University,St. Thomas Aquinas College,University of Pittsburgh-Bradford,University of North Carolina at Asheville,Emporia State University,Marietta College,Concord University,Fairleigh Dickinson University-Florham Campus,University of Mount Union
University of Maine,Tennessee Technological University,Louisiana Tech University,University of Minnesota-Duluth,University of Idaho,Millersville University of Pennsylvania,University of Northern Iowa,University of Wisconsin-Platteville,Saint Cloud State University,College of Charleston,Salisbury University
Maine Maritime Academy,SUNY Maritime College,William Jewell College,University of Health Sciences and Pharmacy in St. Louis,University of Minnesota-Rochester,Cleveland Institute of Art,Florida Institute of Technology,Clarkson University,Kettering University,Wentworth Institute of Technology,Embry-Riddle Aeronautical University-Daytona Beach
Saint Joseph's College of Maine,Immaculata University,Mount Mercy University,Marywood University,Mount Saint Joseph University,Gwynedd Mercy University,Carlow University,DeSales University,Bellarmine University,College of Our Lady of the Elms,Avila University
University of Southern Maine,Augusta University,Indiana University-Southeast,University of Colorado Colorado Springs,Indiana University-South Bend,University of Wisconsin-Parkside,McNeese State University,University of Arkansas at Little Rock,Youngstown State University,Purdue University Northwest,Austin Peay State University
University of Baltimore,Lewis-Clark State College,Auburn University at Montgomery,Indiana University-Kokomo,Texas A&M University-Texarkana,Rhode Island College,Valdosta State University,Governors State University,Clayton  State University,Faulkner University,LIM College
Bowie State University,Fayetteville State University,Morgan State University,Texas Southern University,SUNY Buffalo State University,Alabama A & M University,Coppin State University,Virginia State University,Salem State University,Florida Agricultural and Mechanical University,Kentucky State University
Coppin State University,Fayetteville State University,Governors State University,Upper Iowa University,Bowie State University,Florida Agricultural and Mechanical University,Southern University at New Orleans,Delaware State University,Southern University and A & M College,Rhode Island College,Norfolk State University
Goucher College,Knox College,St. Mary's College of Maryland,Washington College,Lake Forest College,University of North Carolina at Asheville,Hobart William Smith Colleges,Kalamazoo College,Lawrence University,Oglethorpe University,University of Puget Sound
Johns Hopkins University,Northwestern University,University of Southern California,University of Pennsylvania,Rice University,Cornell University,Stanford University,Washington University in St Louis,Columbia University in the City of New York,University of Michigan-Ann Arbor,Massachusetts Institute of Technology
Loyola University Maryland,Gonzaga University,John Carroll University,Providence College,Saint Joseph's University,Duquesne University,Fairfield University,Creighton University,Seattle University,University of Scranton,Siena College
University of Maryland-Baltimore County,University of Massachusetts-Lowell,Virginia Commonwealth University,University of Oregon,The University of Texas at Dallas,University of Washington-Bothell Campus,University of North Carolina Wilmington,Western Washington University,University at Buffalo,Rowan University,Miami University-Oxford
University of Maryland-College Park,University of Michigan-Ann Arbor,University of Illinois Urbana-Champaign,University of Georgia,University of Wisconsin-Madison,University of Florida,North Carolina State University at Raleigh,Ohio State University-Main Campus,Rutgers University-New Brunswick,University of Virginia-Main Campus,Purdue University-Main Campus
Maryland Institute College of Art,University of North Carolina School of the Arts,School of Visual Arts,Cleveland Institute of Art,Savannah College of Art and Design,Pratt Institute-Main,SUNY Maritime College,Oklahoma City University,Lynn University,Minneapolis College of Art and Design,Marymount Manhattan College
Morgan State University,Fayetteville State University,Texas Southern University,Bowie State University,North Carolina Central University,Florida Agricultural and Mechanical University,Southern University and A & M College,North Carolina A & T State University,Prairie View A & M University,Alabama A & M University,Winston-Salem State University
Mount St. Mary's University,Spring Hill College,Walsh University,St Bonaventure University,Aquinas College,Cabrini University,King's College,Emmanuel College,Saint Vincent College,Saint Ambrose University,Carroll College
Salisbury University,Georgia College & State University,University of Minnesota-Duluth,University of Wisconsin-La Crosse,University of Southern Indiana,Millersville University of Pennsylvania,Monmouth University,Winona State University,University of Wisconsin-Eau Claire,SUNY Brockport,College of Charleston
St. Mary's College of Maryland,Washington College,Lewis & Clark College,Lawrence University,St Lawrence University,University of North Carolina at Asheville,Goucher College,University of Puget Sound,Virginia Military Institute,Hobart William Smith Colleges,DePauw University
Towson University,Appalachian State University,University of Kansas,The University of Tennessee-Chattanooga,Kent State University at Kent,Grand Valley State University,West Virginia University,Western Carolina University,James Madison University,West Chester University of Pennsylvania,Western Kentucky University
Washington College,St. Mary's College of Maryland,University of North Carolina at Asheville,St Lawrence University,Lake Forest College,Gettysburg College,Wheaton College (Massachusetts),Hobart William Smith Colleges,Knox College,Rollins College,Goucher College
